title,scope,level,language,topic
Best Practices for Regulations,"A comprehensive overview of Regulations, designed for both beginners and experienced professionals.",Expert,Arabic,Regulations
Essentials of Data Encryption,Learn the fundamental principles of Data Encryption and how to apply them in real-world scenarios.,Expert,Arabic,Data Encryption
Understanding PCI,This module focuses on the practical implementation of PCI security measures.,Expert,Arabic,PCI
Advanced Strategies in Bring Your Own Device (BYOD),Learn the fundamental principles of Bring Your Own Device (BYOD) and how to apply them in real-world scenarios.,Expert,Arabic,Bring Your Own Device (BYOD)
Best Practices for Reporting,"This course provides an in-depth look at Reporting, covering key concepts and practical applications.",Intermediate,English,Reporting
Mastering Laundering for Professionals,Develop robust policies and procedures to enhance your organization's Laundering posture.,Advanced,Arabic,Laundering
Understanding PCI,"A comprehensive overview of PCI, designed for both beginners and experienced professionals.",Expert,English,PCI
Advanced Strategies in ATM Security,Learn the fundamental principles of ATM Security and how to apply them in real-world scenarios.,Expert,Arabic,ATM Security
Understanding Laundering,Learn the fundamental principles of Laundering and how to apply them in real-world scenarios.,Advanced,Arabic,Laundering
Navigating the World of Real attacks,"A comprehensive overview of Real attacks, designed for both beginners and experienced professionals.",Intermediate,Arabic,Real attacks
Essentials of Web Attacks,"A comprehensive overview of Web Attacks, designed for both beginners and experienced professionals.",Expert,English,Web Attacks
Advanced Strategies in Telecom,"A comprehensive overview of Telecom, designed for both beginners and experienced professionals.",Beginner,English,Telecom
Mastering Continuity for Professionals,Understand the latest trends and challenges in Continuity and how to effectively address them.,Expert,English,Continuity
Best Practices for Password Security,Explore advanced techniques and strategies to mitigate risks related to Password Security.,Beginner,English,Password Security
Securing Your Assets with Operation Technology,Understand the latest trends and challenges in Operation Technology and how to effectively address them.,Beginner,Arabic,Operation Technology
Essentials of Bring Your Own Device (BYOD),Learn the fundamental principles of Bring Your Own Device (BYOD) and how to apply them in real-world scenarios.,Intermediate,Arabic,Bring Your Own Device (BYOD)
Understanding Cloud Security,Explore advanced techniques and strategies to mitigate risks related to Cloud Security.,Beginner,English,Cloud Security
Essentials of Health Care Data Privacy,Explore advanced techniques and strategies to mitigate risks related to Health Care Data Privacy.,Advanced,Arabic,Health Care Data Privacy
Best Practices for Business Email Compromise,"A comprehensive overview of Business Email Compromise, designed for both beginners and experienced professionals.",Intermediate,English,Business Email Compromise
Advanced Strategies in Operation Technology,Develop robust policies and procedures to enhance your organization's Operation Technology posture.,Beginner,Arabic,Operation Technology
Mastering Laundering for Professionals,Explore advanced techniques and strategies to mitigate risks related to Laundering.,Intermediate,Arabic,Laundering
Advanced Strategies in ATM Security,Learn the fundamental principles of ATM Security and how to apply them in real-world scenarios.,Expert,Arabic,ATM Security
Securing Your Assets with Smishing,Develop robust policies and procedures to enhance your organization's Smishing posture.,Advanced,English,Smishing
Advanced Strategies in Security Controls,Explore advanced techniques and strategies to mitigate risks related to Security Controls.,Expert,Arabic,Security Controls
Understanding Data Security,"This course provides an in-depth look at Data Security, covering key concepts and practical applications.",Expert,English,Data Security
Essentials of Laundering,Learn the fundamental principles of Laundering and how to apply them in real-world scenarios.,Advanced,Arabic,Laundering
Navigating the World of OWASP TOP 10,"This course provides an in-depth look at OWASP TOP 10, covering key concepts and practical applications.",Intermediate,English,OWASP TOP 10
Navigating the World of ATM Security,Learn the fundamental principles of ATM Security and how to apply them in real-world scenarios.,Expert,Arabic,ATM Security
Understanding Financial Security,Gain critical insights into Financial Security and its impact on modern cybersecurity.,Intermediate,English,Financial Security
Best Practices for Security Essentials,Gain critical insights into Security Essentials and its impact on modern cybersecurity.,Beginner,English,Security Essentials
Navigating the World of Continuity,"This course provides an in-depth look at Continuity, covering key concepts and practical applications.",Advanced,English,Continuity
Understanding PCI,"A comprehensive overview of PCI, designed for both beginners and experienced professionals.",Expert,English,PCI
The Complete Guide to Security Essentials,"A comprehensive overview of Security Essentials, designed for both beginners and experienced professionals.",Advanced,English,Security Essentials
Navigating the World of Continuity,Explore advanced techniques and strategies to mitigate risks related to Continuity.,Advanced,Arabic,Continuity
Advanced Strategies in Acceptance Policy,"A comprehensive overview of Acceptance Policy, designed for both beginners and experienced professionals.",Intermediate,Arabic,Acceptance Policy
Securing Your Assets with USB Attacks,Explore advanced techniques and strategies to mitigate risks related to USB Attacks.,Intermediate,Arabic,USB Attacks
Navigating the World of Mobile Security,Develop robust policies and procedures to enhance your organization's Mobile Security posture.,Advanced,Arabic,Mobile Security
Advanced Strategies in Operation Technology,Explore advanced techniques and strategies to mitigate risks related to Operation Technology.,Advanced,English,Operation Technology
